SERIAL NUMBER,Do you agree to take part in this interview? ,Age (in years) ,Gender ,Education ,Residence Status ,Employment status ,Household financial situation,Years lived in this community,How often do you worry about the following?  [Being robbed in your home ],How often do you worry about the following?  [Being robbed or attacked on the street near your home ],"In the last month, how often have you [Avoided going out during daytime because of fear ]","In the last month, how often have you [Avoided going out at night because of fear ]","In the last month, how often have you [Avoided certain streets or routes ]", How likely do you think the following will happen to you in the next 12 months?  [Your house will be broken into ], How likely do you think the following will happen to you in the next 12 months?  [You will be robbed or attacked in the street ],How safe do you feel ?  [Inside your home at night ],How safe do you feel ?  [?On the street near your home at night ],To what extent do you agree? [The police do a good job of keeping people safe ],To what extent do you agree? [?The police treat people fairly ],To what extent do you agree? [?I can rely on the police when there is a problem ],To what extent do you agree? [The local vigilante or community guards keep people safe ],"In the past 12 months, has anyone attempted to break into your home, or successfully burgled your home? ","If Yes, how many times did this happen in the past 12 months? 
?",Have you or anyone in your household had something stolen,"if yes, how many times did this happen in the past 12 months","In the past 12 months, have you been physically attacked or assaulted? 
?","If Yes, how many times did this happen in the past 12 months? ",Has a close friend or family member experienced any of these in the last 12 months? ,"If Yes, how many times did this happen in the past 12 months?  2",How often do you hear about crime happening to people you know? ,Did you report the most recent incident to any authority or security actor? ,Who did you report it to? (Tick all that apply) ,"If you did not report it, why? (Tick all that apply) ",How much of a problem are the following in your community?  [Poor street lighting ],How much of a problem are the following in your community?  [Abandoned or unfinished buildings ],How much of a problem are the following in your community?  [Groups of young men hanging around],How much of a problem are the following in your community?  [Open drainage or flooding],Agreement level on community trust:  [People in this community can be trusted],Agreement level on community trust:  [People here are willing to help each other ],"Agreement level on community trust:  [?If there is trouble, people will intervene]",Street Name 2,Is there a functioning streetlight near the respondent’s house?,Is there a shop or commercial outlet attached to the respondent’s house? ,Type of street ,Is there a footpath beside or behind the respondent’s house linking to another street? ,Are most houses on this street fenced? ,General condition of buildings on this street ,Visible signs of disorder (tick all that apply) ,Presence of informal security structures,Proximity (within ~200m) to key activity nodes (tick all that apply) ,Overall activity level on the street at the time of interview 
id,consent,age,gender,education,residence,employment,income,years_resident,worry_home,worry_street,avoid_day,avoid_night,avoid_route,risk_home,risk_street,safe_home,safe_street,police_safe,police_fair,police_rely,vigilante_safe,burglary,burglary_count,theft,theft_count,assault,assault_count,vicarious_victim,vicarious_count,crime_heard,reported,reported_to,nonreport_reason,light_prob,building_prob,gang_prob,drainage_prob,trust_neigh,help_neigh,intervene,street_name_obs,streetlight_obs,shop_attached,street_type,footpath,fenced,building_cond,disorder_obs,informal_security,activity_node,activity_level
1,Yes,35,Male,Tertiary,Tenant,Self-Employed,Comfortable,30,1,1,1,1,1,1,1,5,5,1,1,1,5,No,,No,,No,,No,,Sometimes,,,,1,1,1,3,5,5,5,NA,No,Yes,Major Road,Yes,Yes,Fair,Open drainage,Community gate,Bars/viewing centres,Quiet
2,Yes,60,Male,Primary,Landlord,Self-Employed,Comfortable,30,3,1,1,1,1,5,5,5,5,5,5,5,5,No,,No,,No,,No,,Rarely,,,,3,2,1,1,5,5,5,NA,No,Yes,Footpath,Not sure,No,Good,Abandoned/ Uncompleted Building,Vigilante Post,"Bars/viewing centres, Bus stop/motor park",Moderate
3,Yes,45,Male,Secondary,Tenant,Self-Employed,Comfortable,10,1,1,1,1,1,1,1,1,1,5,5,5,5,No,,No,,No,,No,,Sometimes,,,,1,1,1,1,2,3,3,NA,Yes,Yes,Footpath,Not sure,Yes,Good,Open drainage,Community gate,Major market,Quiet
4,Yes,37,Male,Secondary,Tenant,Self-Employed,Just getting by,12,1,5,3,2,1,1,1,5,5,1,1,1,4,Yes,Once,No,,No,,Yes,once,Sometimes,Yes,Family/friends only,"Did not think anything would be done, Did not trust police/security actors, Handled it myself",2,3,1,1,1,1,1,NA,Yes,Yes,Footpath,Yes,Yes,Good,Open drainage,Community gate,Major market,Moderate
5,Yes,39,Male,Primary,Landlord,Self-Employed,Comfortable,39,1,1,1,1,1,2,2,4,4,5,5,5,5,No,,No,,No,,No,,Rarely,,,,1,1,1,1,5,5,5,NA,No,Yes,Major Road,Yes,Mixed,Fair,Open drainage,Community gate,Bus stop/motor park,Moderate
6,Yes,32,Male,Secondary,Tenant,Self-Employed,Comfortable,15,3,4,1,1,1,1,1,1,2,1,1,1,5,No,,No,,No,,Yes,,Sometimes,,,,1,5,5,1,5,5,5,NA,No,Yes,Major Road,Not sure,Mixed,Good,"Litter, Open drainage",Community gate,None,Moderate
7,Yes,30,Male,Tertiary,Tenant,Self-Employed,Just getting by,3,1,5,1,5,5,1,1,5,1,1,1,1,5,No,,No,,Yes,1,Yes,2,Sometimes,,,,5,5,4,2,5,5,5,NA,Yes,Yes,Footpath,Not sure,No,Fair,Open drainage,Vigilante Post,Bus stop/motor park,Moderate
8,Yes,30,Female,Secondary,Landlord,Self-Employed,Comfortable,10,3,3,1,1,1,1,1,5,5,1,1,1,5,No,,Yes,Once,No,,No,,Sometimes,Yes,Vigilante/ Neighborhood watch,,1,1,2,2,5,5,5,NA,Yes,Yes,Footpath,Not sure,Mixed,Fair,Open drainage,Community gate,Bus stop/motor park,Moderate
9,Yes,55,Male,Secondary,Tenant,Employed,Comfortable,10,1,1,1,1,1,1,1,5,5,5,5,5,5,No,,Yes,Once,No,,No,,Rarely,Yes,Police,,1,1,1,1,5,5,5,NA,Yes,Yes,Footpath,Yes,Mixed,Fair,Open drainage,"Community gate,Vigilante Post",Major market,Moderate
